Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you",Please select your gender,Kindly select your age bracket,Please select your department from the list below,How would you rate the state of your mental well-being?,How would you rate the current state of your mental well-being?,"If you need support in Q6 above, please state what support you would need?",Please reflect on the mental Wellness related issues listed below and tick the areas you would like us to address on our regular sessions? (Select more than one if applicable),Mental Wellness Issues Would Like Addressed - Emotional intelligence,Mental Wellness Issues Would Like Addressed - Financial constraints,Mental Wellness Issues Would Like Addressed - Trauma,Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Relationship Difficulties,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Other (please specify),Are you going through a tough emotional situation right now?,"During the past 4 weeks, have you had any problems with your work or daily life due to any emotional problems, such as feeling depressed, sad, or anxious?","During the past 4 weeks, how often has your mental health affected your ability to get work done?","During the past two weeks, how often has your mental health affected your relationships?",Have you ever been diagnosed with a mental disorder before?,Have you seen a therapist in the recent past?,Is there a history of mental disorder in your family?,Do you feel content with your relationships and family?,When was the last time you were really happy?,When was the last time you felt good about yourself?,How often do you feel positive about your life?,When was the last time you had a positive outlook on life?,How many hours do you sleep per day?,How is your quality of sleep?,How often do you smoke?,How often do you drink?,How do you usually cope with the general stresses of life and the mental health challenges that come your way?,Coping Mechanisms - Other (please specify),"What about the amount of social support you receive from your family, friends, etc? When you have the need to talk to someone or go on outings with friends and/or relatives, do you feel there is someone who fulfills these needs?",Have you ever attended a Mental Health Awareness Session?,How would you prefer to receive information and advice about mental health?,Preferred Method of Receiving Mental Health Information - Other (please specify),Are you aware of the Employee Assistance Program services offered by Kenya Airways to all its staff and dependents through Minet?,"EAP Awareness & Usage - If yes to Question 29, have you ever accessed the service?","EAP Awareness & Usage - If no, please state the reason.",Would you like us to link you or your dependents to our professional counselors for support?
114752313967.0,I Agree,Female,40-49 years,Flight Operations,Good,I am OK and coping well,No,Work/job related stressors,,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few weeks ago,7 - 9,OK,Never,Once in a few weeks,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Group session,,Yes,No,I have not had a situation that I needed to however I have referred a couple of colleagues who have gone through difficult periods in their lives.,No
114752315645.0,I Agree,Male,40-49 years,Ground Operations,Poor,I’m just there,Financial support ,Work/job related stressors,,Financial constraints,,,,,Anxiety and Depression,,Yes,Yes,Somewhat often,Very often,No,No,No,Not Sure,Few weeks ago,Few weeks ago,Once in a while,Few weeks ago,4 - 6,OK,Never,Once in a few weeks,I keep my issues to myself,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Online,,Yes,No,I have a feeling that it's not confidential ,No
114752313364.0,I Agree,Male,40-49 years,Managing Director's Office,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,Anxiety and Depression,,No,No,Not so often,Somewhat often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Once in a few weeks,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,Yes,Yes,,No
114752314575.0,I Agree,Female,18-24 years,Ground Operations,Fair,I am not OK,A therapist .,Work/job related stressors,,,,,,,,,Yes,Yes,Somewhat often,Somewhat often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,9+,Very Good,Never,Never,I seek help from my religious leader,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,Yes,No,New staff,Yes
114752311001.0,I Agree,Female,40-49 years,Human Resources,Good,I am OK and coping well,I am okay. But feel like I need support in work life balance.,Work/job related stressors,Emotional intelligence,,,,,,Anxiety and Depression,,No,No,Not at all,Not at all,No,No,Yes,Yes,Few days ago,Few weeks ago,About half the time,Few days ago,7 - 9,Good,Never,Once in a few weeks,,,,,,,,,,
114752312036.0,I Agree,Female,25-39 years,Commercial,Good,I am OK and coping well,,Work/job related stressors,,,,,,,Anxiety and Depression,,No,Yes,Not at all,Not at all,No,No,No,Yes,Few days ago,I don't remember,Once in a while,I don't remember,4 - 6,Good,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,One on One session,,Yes,No,I don't know how to start the conversation ,No
114752303702.0,I Agree,Male,50+ years,Human Resources,Very Good,I’m just there,So far so good,Work/job related stressors,,Financial constraints,,,,,,,No,No,Not so often,Not at all,No,No,No,Yes,Few months ago,Few months ago,Most of the time,Few days ago,4 - 6,Bad,Never,Once in a few weeks,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,No,Group session,,Yes,No,Planning to do so,Yes
114752312465.0,I Agree,Male,40-49 years,Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114752293035.0,I Agree,Female,40-49 years,Flight Operations,Good,I am OK and coping well,,,Emotional intelligence,Financial constraints,Trauma,,,,,,No,No,Not so often,Not so often,Yes,Yes,No,No,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,OK,Once in a few weeks,Once in a few weeks,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,Yes,Yes,,No
114752305064.0,I Agree,Female,50+ years,Technical,Very Good,I am OK and coping well,none,Work/job related stressors,Emotional intelligence,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,No,Yes,Not so often,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,OK,Never,Never,I keep my issues to myself,,Above average degree of social support (Given or potentially available from family and friends).,No,Group session,,Yes,No,Never had any need.,No
114752303433.0,I Agree,Female,18-24 years,Commercial,Fair,I am not OK,Someone to talk to,Work/job related stressors,Emotional intelligence,Financial constraints,,,Relationship Difficulties,,,,Yes,Yes,Not so often,Somewhat often,No,No,No,No,Few months ago,Few months ago,About half the time,Few months ago,7 - 9,Good,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,Group session,,Yes,No,"Fear of talking about my issues and have it said to my supervisor, manager and colleagues.",Yes
114752301519.0,I Agree,Male,25-39 years,Ground Operations,Excellent,I am OK and coping well,,,,Financial constraints,,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,No,No,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Very Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,No,I haven't had an issue with mental health,Yes
114752302195.0,I Agree,Female,25-39 years,Commercial,Good,I’m just there,,,,Financial constraints,,,,,,,Yes,Not Sure,Not at all,Not so often,No,No,No,Not Sure,I don't remember,Few years ago,Once in a while,Few months ago,4 - 6,OK,Never,Never,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,One on One session,,No,,,No
114752299607.0,I Agree,Female,18-24 years,Cargo,Fair,I’m just there,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Not Sure,Yes,Somewhat often,Very often,No,No,No,Not Sure,Few weeks ago,Few weeks ago,Once in a while,Few months ago,4 - 6,Good,Never,Never,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,Online,,Yes,No,work ,No
114752298792.0,I Agree,Male,25-39 years,Technical,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,Anxiety and Depression,,No,Yes,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,4 - 6,Bad,Never,Never,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,No,One on One session,,No,,,No
114752302975.0,I Agree,Female,25-39 years,Flight Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114752299565.0,I Agree,Female,25-39 years,Commercial,Poor,I’m just there,How to cope with a toxic workplace and toxic leadership at the workplace ,Work/job related stressors,,,,,,,Anxiety and Depression,,Yes,Yes,Very often,Somewhat often,Yes,No,No,Yes,I don't remember,Few months ago,Once in a while,I don't remember,4 - 6,OK,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,One on One session,,Yes,Yes,,No
114752296454.0,I Agree,Male,25-39 years,Finance,Excellent,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,,,Not Sure,Yes,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,No,One on One session,,Yes,Yes,,No
114752296449.0,I Agree,Male,50+ years,Cargo,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Good,Never,Never,I seek for available options online,,Above average degree of social support (Given or potentially available from family and friends).,No,Online,,No,,,No
114752297744.0,I Agree,Female,25-39 years,Flight Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114752294829.0,I Agree,Female,40-49 years,Commercial,Fair,I’m just there,,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,,,No,Yes,Not so often,Not so often,No,No,No,Not Sure,Few days ago,Few weeks ago,Most of the time,Few days ago,7 - 9,Not Sure,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,One on One session,,Yes,No,No need yet,No
114752294020.0,I Agree,Female,25-39 years,Ground Operations,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,Trauma,,,,,,No,No,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,Always,Few weeks ago,4 - 6,OK,Never,Never,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,Yes,No,,No
114752294620.0,I Agree,Female,40-49 years,Technical,Excellent,I am OK and coping well,,Work/job related stressors,,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,,"ON A SERIOUS NOTE,TACKLE CHILDLESSNESS.",No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,4 - 6,Very Good,Never,Never,I seek help from my religious leader,,Above average degree of social support (Given or potentially available from family and friends).,Yes,One on One session,,Yes,No,NO CLEAR INFORMATION ABOUT THEM,No
114752289986.0,I Agree,Male,40-49 years,Flight Operations,Good,I am OK and coping well,,Work/job related stressors,,,Trauma,,Relationship Difficulties,,Anxiety and Depression,,Yes,Yes,Not so often,Somewhat often,Yes,Yes,No,No,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Very Good,Never,Never,I seek help from my religious leader,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Online,,Yes,No,No particular need,No
114752295641.0,I Agree,Female,25-39 years,Ground Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114752292641.0,I Agree,Female,50+ years,Flight Operations,Fair,I am not OK,,,,,,,,,Anxiety and Depression,,Yes,Yes,Not so often,Not at all,No,No,No,Yes,Few years ago,I don't remember,Once in a while,Few days ago,4 - 6,Good,Never,Never,I keep my issues to myself,,No support or potential support is available from either family or friends,Yes,Online,,Yes,Yes,,No
114752291046.0,I Agree,Male,50+ years,Managing Director's Office,Excellent,I am OK and coping well,,,,,,,,,,None of the above,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Once in a few weeks,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,Yes,No,I have no had any mental health issues,No
114752293612.0,I Agree,Female,50+ years,Finance,Good,I am OK and coping well,,Work/job related stressors,,,,,,,,,No,No,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,Yes,No,,No
114752291509.0,I Agree,Female,25-39 years,Ground Operations,Fair,I’m just there,,Work/job related stressors,,,,,,,Anxiety and Depression,,No,Yes,Very often,Somewhat often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,9+,Very Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Group session,,Yes,Yes,,No
114752290239.0,I Agree,Female,25-39 years,Ground Operations,Fair,I am not OK,Counselling ,Work/job related stressors,,,,,,,Anxiety and Depression,,Yes,Yes,Not so often,Not so often,No,No,No,Not Sure,Few weeks ago,Few weeks ago,Once in a while,Few weeks ago,7 - 9,Very Good,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,One on One session,,Yes,Yes,,Yes
114752283323.0,I Agree,Female,50+ years,Human Resources,Very Good,I am OK and coping well,I am well supported,Work/job related stressors,Emotional intelligence,,,,,,Anxiety and Depression,,No,No,Not at all,Not so often,No,Yes,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,More than once everyday,I engage relatives and friends,"- Working on a budget, prioritizing work/tasks, making sure I have goal am working on, attending to important and urgent matters and leaving what can wait wait, enganging in fitness activities e.g. hiking, swimming, cycling, skipping, personal gym activities, eating well, I don't force things, ensuring that I dedicate to my work by giving it the best shot and being innovative, thorough, vigilant, I love what I do and always looking to giving it the best and looking always to improving e.g. process improvement, giving feedback, maintaining a positive feedback e.t.c",Average degree of social support from family and friends is given or potentially available.,Yes,Group session,online,Yes,No,Have not identified the need,No
114752288981.0,I Agree,Male,40-49 years,Technical,Very Good,I’m just there,"was issued with a FINAL warning, the union walked away from me before the panel started, this has greatly influenced my status, I was pulled off shift loosing close to 30k, Ive never recovered.",Work/job related stressors,Emotional intelligence,Financial constraints,,,,,,,Yes,No,Not at all,Very often,No,No,No,Yes,I don't remember,I don't remember,About half the time,I don't remember,7 - 9,Bad,Never,Once in a few weeks,I keep my issues to myself,,No support or potential support is available from either family or friends,No,Online,,Yes,No,I tried but couldn't connect,No
114752288983.0,I Agree,Male,50+ years,Ground Operations,Fair,I am OK and coping well,stress,Work/job related stressors,,,,,,,Anxiety and Depression,,Yes,Not Sure,Not so often,Somewhat often,No,No,Not sure,Yes,Few weeks ago,Few weeks ago,Most of the time,Few weeks ago,Less than 4,Bad,More than once everyday,Once in a few weeks,I keep my issues to myself,,Above average degree of social support (Given or potentially available from family and friends).,No,Online,,No,,,Yes
114752289327.0,I Agree,Male,25-39 years,Commercial,Good,I’m just there,,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,Anxiety and Depression,,Yes,Yes,Not so often,Not so often,No,No,No,Yes,Few years ago,Few days ago,About half the time,Few days ago,7 - 9,OK,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,Yes,No,,No
114752288784.0,I Agree,Female,18-24 years,Flight Operations,Good,I am OK and coping well,,,Emotional intelligence,,Trauma,,,Unresolved Childhood Difficulties,Anxiety and Depression,,No,No,Not so often,Not so often,No,No,Not sure,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,Once in a few weeks,,,,,,,,,,
114752286357.0,I Agree,Female,25-39 years,Technical,Very Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,Trauma,,,,Anxiety and Depression,,No,No,Not at all,Not at all,Yes,Yes,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Once in a few weeks,I engage relatives and friends,I pray,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Group session,,Yes,No,,No
114752287088.0,I Agree,Female,25-39 years,Managing Director's Office,Good,I am OK and coping well,,,,,,,,,Anxiety and Depression,,No,No,Not so often,Not at all,Yes,Yes,Not sure,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,Once in a few weeks,I keep my issues to myself,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Online,,Yes,No,I dont have an answer ,No
114752285963.0,I Agree,Female,25-39 years,Technical,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,,Relationship Difficulties,,,,No,No,Not at all,Not at all,No,Yes,No,Yes,Few years ago,I don't remember,About half the time,I don't remember,4 - 6,OK,Never,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,No,I haven't felt the need to. ,No
114752288385.0,I Agree,Female,25-39 years,Technical,Fair,I’m just there,,Work/job related stressors,,Financial constraints,,,,Unresolved Childhood Difficulties,Anxiety and Depression,,Yes,Yes,Not so often,Not so often,No,No,Not sure,No,Few days ago,Few days ago,About half the time,Few weeks ago,4 - 6,Good,Never,Never,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Online,,No,,,No
114752287735.0,I Agree,Male,25-39 years,"Corporate Quality, Safety & Environment",Fair,I’m just there,,,,,,,,,Anxiety and Depression,,Yes,No,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,About half the time,Few days ago,7 - 9,Good,Never,Never,I seek help from my religious leader,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,One on One session,,Yes,No,No time,No
114752287314.0,I Agree,Female,25-39 years,Ground Operations,Good,I need support,I would want KQ to provide therapist services,Work/job related stressors,Emotional intelligence,,,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Yes,Yes,Not so often,Very often,No,No,No,No,Few weeks ago,Few days ago,Once in a while,Few days ago,7 - 9,Very Good,Never,Never,I seek help from a processional counselor,,No support or potential support is available from either family or friends,Yes,One on One session,,No,,,No
114752285949.0,I Agree,Female,25-39 years,Commercial,Poor,I am not OK,less toxic environments,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,ADHD ,Yes,Yes,Not so often,Very often,Yes,Yes,Yes,No,I don't remember,I don't remember,Once in a while,I don't remember,Less than 4,Very Bad,Never,Once in a few weeks,I keep my issues to myself,But i am tring to seek help ,Above average degree of social support (Given or potentially available from family and friends).,No,One on One session,,No,,,No
114752285026.0,I Agree,Male,25-39 years,Ground Operations,Good,I am OK and coping well,,,,Financial constraints,,,,,Anxiety and Depression,,Yes,Not Sure,Not at all,Somewhat often,No,No,No,Yes,Few days ago,Few months ago,Most of the time,Few months ago,4 - 6,OK,Never,Never,I seek help from my religious leader,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,No,,,No
114752285076.0,I Agree,Male,40-49 years,Commercial,Good,I am OK and coping well,am okay but financial planning a challenge with soo many competing needs and overthing of what ill do and the retirement is near,Work/job related stressors,,Financial constraints,,,,,,,No,No,Not so often,Not so often,No,No,No,Yes,Few days ago,Few weeks ago,Most of the time,Few weeks ago,4 - 6,OK,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Group session,,Yes,Yes,,Yes
114752284288.0,I Agree,Male,40-49 years,Managing Director's Office,Excellent,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,Substance and Drug Dependence,,,Anxiety and Depression,,No,Not Sure,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few weeks ago,4 - 6,Not Sure,Never,Once in a few weeks,I keep my issues to myself,,Above average degree of social support (Given or potentially available from family and friends).,No,Online,,No,,,No
114752283734.0,I Agree,Male,40-49 years,Ground Operations,Excellent,I am OK and coping well,I need money,,,Financial constraints,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few years ago,Few years ago,Most of the time,Few years ago,4 - 6,Good,Never,Never,I seek help from my religious leader,I go to church to sing praises and dancing ,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Group session,Camp or hotels invitation by mental proffersors ,Yes,Yes,,No
114752284631.0,I Agree,Female,25-39 years,Information Technology,Fair,I’m just there,,,,,,Substance and Drug Dependence,,Unresolved Childhood Difficulties,,"Autism, ADHD",Yes,Yes,Somewhat often,Somewhat often,No,Yes,Not sure,Not Sure,Few days ago,Few weeks ago,Once in a while,Few weeks ago,4 - 6,Bad,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,One on One session,,No,,,Yes
114752284419.0,I Agree,Male,25-39 years,Ground Operations,Excellent,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Very Good,Never,Never,I engage relatives and friends,"In addition, I meditate.","High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,No,I haven't been in a position to require such kind of assistance however I'm humbled to have such programs within my reach.,No
114752284121.0,I Agree,Male,40-49 years,Ground Operations,Good,I’m just there,,,Emotional intelligence,,,,,,,,Not Sure,Yes,Not so often,Somewhat often,No,Yes,No,Not Sure,Few years ago,Few years ago,About half the time,Few years ago,7 - 9,Bad,Never,Once in a few weeks,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,Yes,Yes,,No
114752283259.0,I Agree,Male,50+ years,Managing Director's Office,Excellent,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,,,No,Yes,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,4 - 6,Good,Never,Never,I engage relatives and friends,I start praying and communing with Lord Jesus Christ.,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,No,Was away on leave ,No
114752284034.0,I Agree,Female,25-39 years,Technical,Fair,I am OK and coping well,,Work/job related stressors,,,,,,,Anxiety and Depression,,No,Yes,Not so often,Not so often,No,No,No,Yes,Few weeks ago,Few weeks ago,Most of the time,Few days ago,7 - 9,Very Good,Never,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Group session,,Yes,No,I have always been able to get help within my circle,No
114752284890.0,I Agree,Female,25-39 years,Finance,Excellent,I am OK and coping well,,,,Financial constraints,,,Relationship Difficulties,,Anxiety and Depression,,Yes,Not Sure,Not at all,Not at all,No,No,No,Not Sure,Few days ago,Few days ago,About half the time,Few months ago,7 - 9,Good,Never,Never,I keep my issues to myself,,No support or potential support is available from either family or friends,Yes,Online,,Yes,No,I do not need it,No
114752284209.0,I Agree,Female,25-39 years,Ground Operations,Fair,I am OK and coping well,,,,Financial constraints,,,,Unresolved Childhood Difficulties,,,No,No,Somewhat often,Not so often,No,Yes,No,Yes,Few days ago,Few days ago,About half the time,Few days ago,4 - 6,Good,Never,Once in a few weeks,I seek for available options online,,Average degree of social support from family and friends is given or potentially available.,Yes,One on One session,,No,,,No
114752283108.0,I Agree,Female,25-39 years,Flight Operations,Fair,I’m just there,,Work/job related stressors,,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,Yes,Yes,Not at all,Not at all,No,No,No,Not Sure,I don't remember,Few days ago,Most of the time,Few days ago,4 - 6,OK,Never,Once in a few weeks,I keep my issues to myself,,Above average degree of social support (Given or potentially available from family and friends).,No,Online,,Yes,No,Just never have the energy for it.,No
114752282896.0,I Agree,Male,40-49 years,Commercial,Excellent,I am OK and coping well,,Work/job related stressors,,,,,,,Anxiety and Depression,,No,Yes,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Once in a while,Few weeks ago,4 - 6,Bad,Never,Never,I keep my issues to myself,Just do destressing activity ... Gym / Run / Swimming,No support or potential support is available from either family or friends,No,One on One session,,No,,,Yes
114752283349.0,I Agree,Male,25-39 years,Finance,Good,I am OK and coping well,,,Emotional intelligence,,,,,,Anxiety and Depression,,No,Yes,Not so often,Not so often,No,No,No,Yes,Few days ago,Few months ago,Most of the time,Few weeks ago,4 - 6,Good,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,Pamphlets and nuggets,,Yes,No,Never in need of one,No
114752283859.0,I Agree,Female,40-49 years,Flight Operations,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,Substance and Drug Dependence,,,,,Yes,Yes,Not at all,Very often,No,No,Not sure,No,I don't remember,Few days ago,Once in a while,Few months ago,4 - 6,Very Bad,Never,Never,I seek for available options online,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,Yes,No,Never needed it,No
114752284133.0,I Agree,Male,18-24 years,Technical,Excellent,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,,,No,Yes,Somewhat often,Somewhat often,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Good,Never,Never,I keep my issues to myself,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,Yes,,,
114752283229.0,I Agree,Female,18-24 years,Commercial,Very Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,Anxiety and Depression,,No,Yes,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,Never,I keep my issues to myself,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Pamphlets and nuggets,,No,,,No
114752282585.0,I Agree,Female,25-39 years,Cargo,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,,,,Anxiety and Depression,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few months ago,7 - 9,Very Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,No,never had a major mental issue,No
114752282410.0,I Agree,Male,25-39 years,Flight Operations,Fair,I’m just there,Work life balance to be audited,Work/job related stressors,,,,,,,,,No,No,Somewhat often,Somewhat often,No,No,No,Yes,I don't remember,I don't remember,Once in a while,Few months ago,4 - 6,Very Bad,Never,Never,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,Pamphlets and nuggets,,Yes,No,No reason,No
114752280759.0,I Agree,Male,40-49 years,Technical,Excellent,I am OK and coping well,,Work/job related stressors,,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,Anxiety and Depression,,No,No,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Once in a few weeks,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,No,Online,,Yes,Yes,,Yes
114752282437.0,I Agree,Male,25-39 years,Technical,Fair,I’m just there,Financial support and work-life balance.,Work/job related stressors,,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,Anxiety and Depression,,Not Sure,Not Sure,Not at all,Somewhat often,No,No,No,Not Sure,Few months ago,Few days ago,Always,Few days ago,7 - 9,OK,Never,Never,I keep my issues to myself,,Above average degree of social support (Given or potentially available from family and friends).,No,One on One session,,Yes,No,I am not fully aware of the process.,Yes
114752281520.0,I Agree,Male,50+ years,Ground Operations,Fair,I’m just there,none,Work/job related stressors,,,,,,,,,No,Not Sure,Not so often,Somewhat often,No,No,No,Not Sure,Few months ago,Few months ago,Once in a while,Few months ago,7 - 9,Good,Never,Once everyday,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,Online,,Yes,No,Funds allocated will lower my medical cover,No
114752282944.0,I Agree,Female,40-49 years,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
